学校名称,学校ID号
上海政法学院,1011
大庆师范学院,1012
武汉铁路职业技术学院,1013
吉林农业科技学院,1014
随州职业技术学院,1015
武汉航海职业技术学院,1016
长沙南方职业学院,1017
重庆交通大学,1018
武汉警官职业学院,1019
福建医科大学,1020
福建中医药大学,1021
蚌埠医科大学,1022
阜阳师范大学,1023
安庆师范大学,1024
湖北理工学院,1026
湖北警官学院,1027
长沙学院,1029
广东金融学院,1031
右江民族医学院,1033
广西中医药大学,1034
河池学院,1035
伊犁师范大学,1036
重庆文理学院,1038
沈阳工程学院,1041
赤峰学院,1042
西安文理学院,1043
昆明学院,1044
黑河学院,1045
广西财经学院,1046
吉林医药学院,1047
金陵科技学院,1048
徐州工程学院,1049
河南职业技术学院,1050
江苏农牧科技职业学院,1051
湖北经济学院法商学院,1052
保险职业学院,1055
湖北三峡职业技术学院,1056
武汉交通职业学院,1059
厦门理工学院,1061
哈尔滨师范大学,1062
绥化学院,1063
淮阴师范学院,1064
南京工业职业技术大学,1065
浙江传媒学院,1066
辽宁科技学院,1067
湖北城市建设职业技术学院,1068
江苏工程职业技术学院,1069
湖南人文科技学院,1070
贵阳学院,1071
重庆工商大学,1073
湖北水利水电职业技术学院,1074
成都医学院,1075
文华学院,1077
绵阳师范学院,1082
内江师范学院,1083
宜宾学院,1084
乐山师范学院,1085
成都体育学院,1086
曲靖师范学院,1089
榆林学院,1090
塔里木大学,1091
上海电机学院,1092
西藏藏医药大学,1093
陇东学院,1094
天水师范学院,1095
广州南方学院,1096
苏州百年职业学院,1097
武汉华夏理工学院,1099
商丘医学高等专科学校,1100
西安航空学院,1102
武昌首义学院,1104
汉口学院,1105
长江职业学院,1106
北京金融科技学院,1110
北京工业大学耿丹学院,1112
郑州经贸学院,1114
北京邮电大学世纪学院,1115
江苏建筑职业技术学院,1116
江苏警官学院,1118
常州纺织服装职业技术学院,1121
三峡大学科技学院,1124
郑州财经学院,1125
陕西青年职业学院,1127
陕西航空职业技术学院,1128
中国矿业大学徐海学院,1129
陕西警官职业学院,1130
电子科技大学成都学院,1131
内蒙古化工职业学院,1132
中南林业科技大学涉外学院,1133
太原工业学院,1134
南京警察学院,1139
南京特殊教育师范学院,1140
南京铁道职业技术学院,1141
山东中医药大学,1142
南京理工大学泰州科技学院,1143
武汉工程科技学院,1144
东南大学成贤学院,1145
陕西经济管理职业技术学院,1146
郑州师范学院,1147
郑州工商学院,1148
郑州电子信息职业技术学院,1150
常州工程职业技术学院,1151
山西医科大学汾阳学院,1152
内蒙古交通职业技术学院,1153
钟山职业技术学院,1154
扬州工业职业技术学院,1155
郑州铁路职业技术学院,1156
武昌理工学院,1157
湖北医药学院药护学院,1158
武汉东湖学院,1159
空军预警学院,1160
商丘工学院,1161
湖北交通职业技术学院,1162
内蒙古电子信息职业技术学院,1163
内蒙古商贸职业学院,1164
菏泽医学专科学校,1165
辽宁理工学院,1166
保定理工学院,1167
青岛酒店管理职业技术学院,1168
武汉学院,1169
宿迁学院,1170
常州信息职业技术学院,1171
濮阳职业技术学院,1172
武汉城市学院,1176
成都纺织高等专科学校,1177
洛阳理工学院,1178
三江学院,1179
宿州学院,1180
苏州市职业大学,1181
常熟理工学院,1182
西安翻译学院,1184
西京学院,1185
厦门华天涉外职业技术学院,1186
鹤壁职业技术学院,1187
湖南涉外经济学院,1188
宁波工程学院,1189
南京财经大学红山学院,1190
无锡科技职业学院,1191
建东职业技术学院,1192
徐州工业职业技术学院,1193
天津生物工程职业技术学院,1195
安徽中医药大学,1196
长沙商贸旅游职业技术学院,1198
金山职业技术学院,1199
山西药科职业学院,1201
信阳农林学院,1203
山东警察学院,1204
山东航空学院,1210
武警后勤学院,1211
辽宁警察学院,1212
武警工程大学,1213
集美大学诚毅学院,1214
上海师范大学天华学院,1215
宁波诺丁汉大学,1216
北京大学医学部,1217
东北大学秦皇岛分校,1218
山东大学（威海）,1219
香港中文大学,1220
香港城市大学,1221
中国人民解放军战略支援部队信息工程大学,1222
解放军国际关系学院,1223
中国人民解放军西安通信学院,1224
陆军勤务学院,1226
中国人民解放军陆军军医大学,1227
陆军装甲兵学院,1229
空军工程大学,1230
火箭军工程大学,1231
重庆人文科技学院,1232
香港科技大学,1233
香港大学,1234
贵州工程应用技术学院,1236
济宁医学院,1238
常州工业职业技术学院,1239
宁夏师范学院,1241
呼伦贝尔学院,1242
长沙医学院,1243
辽宁对外经贸学院,1244
青岛滨海学院,1245
枣庄学院,1246
滁州学院,1247
海南热带海洋学院,1249
龙岩学院,1250
梧州学院,1251
百色学院,1252
陆军军事交通学院,1253
丽水学院,1255
北部湾大学,1256
长治学院,1257
河北科技师范学院,1258
贺州学院,1259
三明学院,1261
商洛学院,1262
安康学院,1263
菏泽学院,1264
西安医学院,1265
铜仁学院,1266
安顺学院,1267
凯里学院,1268
兰州城市学院,1269
香港演艺学院,1270
澳门理工大学,1272
长春科技学院,1274
北京师范大学-香港浸会大学联合国际学院,1275
吉林师范大学博达学院,1276
昆明医科大学海源学院,1277
四川文化产业职业学院,1278
山东政法学院,1279
昆明城市学院,1280
武汉体育学院体育科技学院,1281
西安海棠职业学院,1284
广州新华学院,1285
香港理工大学,1287
大连工业大学艺术与信息工程学院,1288
广州城建职业学院,1289
吉林艺术学院,1291
广州应用科技学院,1297
北京理工大学珠海学院,1298
平顶山工业职业技术学院,1301
上海外国语大学贤达经济人文学院,1304
大连理工大学城市学院,1305
黄河交通学院,1307
广州软件学院,1308
陆军防化学院,1309
解放军陆军航空兵学院,1310
中国人民解放军战略支援部队航天工程大学,1311
陆军工程大学,1312
长春电子科技学院,1314
武汉纺织大学外经贸学院,1316
中国人民解放军海军航空大学,1321
河南工程学院,1323
河南开封科技传媒学院,1324
天津海运职业学院,1327
黑龙江外国语学院,1328
三亚学院,1329
江苏食品药品职业技术学院,1330
辽宁商贸职业学院,1332
新疆农业职业技术学院,1333
郑州旅游职业学院,1334
新疆轻工职业技术学院,1335
日照职业技术学院,1336
山西老区职业技术学院,1340
浙江商业职业技术学院,1341
西交利物浦大学,1343
湖州职业技术学院,1345
重庆科创职业学院,1348
浙江建设职业技术学院,1349
浙江经贸职业技术学院,1350
台州职业技术学院,1351
四川警察学院,1352
浙江工商职业技术学院,1353
浙江横店影视职业学院,1354
浙江机电职业技术学院,1355
湖北第二师范学院,1356
浙江金融职业学院,1357
苏州工业职业技术学院,1359
无锡工艺职业技术学院,1361
浙江水利水电学院,1364
聊城职业技术学院,1369
南京交通职业技术学院,1370
新疆交通职业技术学院,1372
吉林动画学院,1373
广西艺术学院,1374
四川音乐学院,1375
南京信息职业技术学院,1376
北京劳动保障职业学院,1378
海南职业技术学院,1382
陕西交通职业技术学院,1383
河北传媒学院,1387
苏州卫生职业技术学院,1388
海南软件职业技术学院,1390
海口经济学院,1391
新疆建设职业技术学院,1392
内蒙古机电职业技术学院,1394
四川工商学院,1395
金肯职业技术学院,1397
燕京理工学院,1398
楚雄医药高等专科学校,1399
青岛城市学院,1400
北京中医药大学东方学院,1401
河北地质大学华信学院,1402
无锡学院,1403
海南经贸职业技术学院,1404
江苏医药职业学院,1405
江苏信息职业技术学院,1406
马鞍山职业技术学院,1407
河北师范大学汇华学院,1408
长春建筑学院,1409
三门峡职业技术学院,1410
苏州经贸职业技术学院,1412
武汉工程职业技术学院,1413
西安财经大学行知学院,1415
江苏航运职业技术学院,1418
长春工业大学人文信息学院,1419
山西职业技术学院,1420
武汉商贸职业学院,1424
晋城职业技术学院,1428
安徽医学高等专科学校,1429
河南警察学院,1430
南开大学滨海学院,1431
海南科技职业大学,1432
武昌职业学院,1433
江苏农林职业技术学院,1434
无锡职业技术学院,1435
江苏海事职业技术学院,1436
江苏大学京江学院,1437
南京师范大学泰州学院,1442
山西金融职业学院,1444
石家庄医学高等专科学校,1445
烟台理工学院,1446
苏州农业职业技术学院,1449
遵义医药高等专科学校,1451
江南影视艺术职业学院,1453
陕西电子信息职业技术学院,1454
珠海科技学院,1455
北京第二外国语学院中瑞酒店管理学院,1456
哈尔滨工业大学（威海）,1457
江海职业技术学院,1459
沧州交通学院,1461
上海视觉艺术学院,1469
重庆对外经贸学院,1472
重庆外语外事学院,1473
重庆城市科技学院,1474
重庆财经学院,1475
重庆移通学院,1476
重庆工商大学派斯学院,1477
重庆工业职业技术学院,1478
重庆电力高等专科学校,1479
重庆工贸职业技术学院,1480
重庆航天职业技术学院,1481
重庆财经职业学院,1483
重庆水利电力职业技术学院,1484
重庆机电职业技术大学,1485
重庆城市职业学院,1486
重庆三峡职业学院,1487
重庆电子工程职业学院,1488
重庆第二师范学院,1489
重庆建筑工程职业学院,1490
重庆医药高等专科学校,1491
重庆传媒职业学院,1492
重庆警察学院,1493
重庆青年职业技术学院,1494
重庆三峡医药高等专科学校,1495
重庆工商职业学院,1496
重庆海联职业技术学院,1498
重庆工程学院,1499
